Date,      Genel, 1. Gıda ve Alkolsüz İçecekler, 2. Alkollü İçeçekler ve Tütün, 3. Giyim ve Ayakkabı," 4. Konut, Su, Elektrik, Gaz ve Diğer Yakıtlar "," 5. Mobilya, Ev Aletleri ve Ev Bakım Hizmetleri", 6. Sağlık, 7. Ulaştırma , 8. Haberleşme, 9. Eğlence ve Kültür,10. Eğitim,11. Lokanta ve Oteller,12. Çeşitli Mal ve Hizmetler
Oct-18,476.0009315,495.2512446,616.8124543,275.1203311,575.3494155,458.8883797,383.744789,517.1644188,166.0268212,347.7753856,672.9014507,640.5570773,507.2200117
Nov-18,468.3794532,515.0074388,614.8582793,296.8014325,581.7147242,450.8995512,380.2244071,484.4980806,163.1777697,320.8978828,653.0911832,617.6950205,508.1893283
Dec-18,461.3862688,501.3237327,613.5693554,305.4038084,574.0289525,445.772051,382.1930417,459.8010664,189.0577587,330.4364287,644.9765929,562.252785,514.6068731
Jan-19,463.8174931,507.2863115,614.1514501,289.0554016,569.5258352,447.7635354,381.6371919,452.9627026,189.5215578,346.4399892,648.2148097,561.8332977,547.396516
Feb-19,463.1072478,508.8525188,615.7729995,276.8524837,574.672255,445.2455666,400.7908488,451.41092,190.3298933,330.7119867,643.7955962,573.7537279,551.2069333
Mar-19,469.2536013,510.9407952,614.4840756,276.1907625,579.6155266,449.2743167,405.1450054,458.854216,190.0118597,342.9213255,648.6719697,598.2587765,558.8611924
Apr-19,487.7746131,517.7276937,687.9943162,305.7152066,625.120712,452.2043169,408.2021791,480.0794455,190.9262064,357.7590637,659.0723601,637.9352818,565.8135326
May-19,490.0692517,515.7493265,697.8899255,312.0015583,605.4491995,455.4547858,410.356097,488.2065779,191.0984747,364.1816846,669.7013305,658.3503295,570.9609383
Jun-19,496.2975566,507.3412661,700.6340861,314.0061844,604.0271625,467.3350207,412.5563357,483.866847,193.8547664,396.8247086,664.596377,709.4928204,582.6595877
Jul-19,501.5970792,511.1880911,703.1703557,313.5974742,601.5216687,470.8143958,440.1172204,490.3632927,212.7115121,390.6352521,658.3866201,740.0804346,584.6650704
Aug-19,503.4819609,519.5137196,780.8384153,267.8219352,600.3366378,470.4939271,443.0817526,486.5495897,214.9377477,390.550465,653.0911832,757.2094986,606.4245583
Sep-19,512.9610039,539.2424365,779.5079132,279.2852824,599.8964835,473.2636928,445.2819913,491.1786361,216.0243627,383.491941,771.5337247,725.5731662,605.990037
Oct-19,510.8029509,536.4947043,781.5452446,341.2729914,601.995681,472.6227553,459.6877646,473.8460138,216.4881618,359.7939535,772.1051747,728.4047053,610.3352496
Nov-19,508.4263608,535.9451579,783.1252158,347.1895576,605.5169156,477.475568,464.9451771,476.1342355,183.7704491,371.1766183,771.724208,682.5407626,611.0371686
Dec-19,515.2010082,545.782039,783.2083722,357.913334,612.4578107,495.9711938,466.0568766,479.8953357,189.8660942,375.5855462,774.2004915,686.2462336,616.4185473
Jan-20,523.9424888,571.583244,782.293652,357.9522588,618.4506811,498.3747095,469.5309377,485.970959,191.2177373,378.0443714,779.191155,692.3287992,638.6459811
Feb-20,527.1866337,583.4259696,784.5388743,297.4826161,621.5994774,500.7553346,488.8698778,487.4964401,192.6753916,389.7873813,780.562635,695.6846974,647.8712017
Mar-20,529.652518,579.8539178,824.8281408,297.4826161,622.2427799,504.4407254,491.4175226,493.019734,192.7018944,390.826023,793.4393089,695.6846974,649.5424373
Apr-20,528.4411779,571.1436069,828.4870215,314.0061844,589.705218,509.36221,496.2348874,502.5671421,192.7283972,392.203813,808.5636862,695.6846974,653.1523063
May-20,532.4114048,565.9229158,830.8985566,381.5017495,599.219323,517.6028354,497.4160681,491.2575403,195.9087338,394.493064,814.3924764,697.0130738,669.5972648
Jun-20,537.7793102,558.3941297,834.3495464,392.4201497,599.287039,533.237133,499.4078632,500.9364553,197.5784105,396.5703473,814.6210564,745.4288975,676.9841263
Jul-20,548.3963314,551.7171405,839.9210239,389.6370281,635.6505577,541.0886177,504.7579173,528.9211444,198.9168021,396.9942827,817.8211766,773.0801007,685.1063314
Aug-20,560.913396,572.3251317,843.8293738,360.5407565,645.706391,550.1761962,541.6061253,553.1184319,199.7251377,398.8172048,838.7743441,779.7569399,703.0219773
Sep-20,570.3219514,591.8615074,846.5735343,354.6241902,650.8866688,580.8496351,547.5815104,564.3228281,201.580334,400.9580785,879.4234891,744.0306065,712.2806226
Oct-20,576.2912897,594.8290581,852.1034336,343.6863276,661.3487985,595.8201045,553.4410935,574.0017432,201.6333396,403.3109198,888.4143028,756.8249686,717.2609048
Nov-20,590.1816497,618.2946908,861.2922137,382.5137937,680.0384282,623.7924495,558.2352978,584.6275086,203.9655864,406.7235996,895.4621864,760.2507814,720.4362525
Dec-20,592.6028627,625.6036583,858.4233186,387.7881011,683.3226566,628.2103403,561.940963,583.9436722,203.952335,410.9205598,891.3096495,755.8811222,721.7063915
Jan-21,595.4762914,632.1982155,859.9201334,390.1625126,679.2935516,669.4363577,564.2106829,579.5513385,204.2703687,408.3981443,881.7854825,754.8673613,739.9228598
